Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12
2.449407231,3.375368115,3.262100728,2.95911047,6.716756014,4.825190661,10.55085704,10.28751037,12.25836289,30.97863018,38.59586192,36.16061311
1.189307557,3.87091293,2.976100578,4.273012152,5.445329601,9.871252725,10.75757002,27.0794004,35.31110771,64.87389556,78.52261562,80.44816119
8.427093548,39.87012001,48.87487723,51.87646297,56.88854482,72.32122622,75.86083204,120.9412518,183.294948,264.6775652,263.0635049,245.138941
37.32160382,153.9020613,225.1755642,237.4367587,377.1803967,406.6299172,206.2882275,236.6155702,226.5630896,307.2377856,294.2120362,274.9282636
15.52895868,190.8838629,240.7781466,239.8436907,342.3506754,394.1705047,652.1369772,807.0301281,853.4697565,1169.485765,1117.665935,1114.834251
99.25054733,121.5642225,109.9826322,118.7891715,127.1143244,136.2889827,298.4595632,331.8734422,343.2001808,576.5309968,558.6913834,596.0696209
4.895982777,7.815449662,7.118855235,7.461489079,8.209053829,6.504379664,16.59367211,20.30034733,30.52556063,97.32500176,94.5499508,94.23846548
9.208638514,17.73484103,16.47190967,16.14343425,16.51155325,19.53862415,19.08838629,16.97311785,21.95971454,48.13863922,43.57962692,30.58219433
3.545269194,36.27388049,40.12497163,38.73744615,36.13229626,34.06516646,11.64105564,14.59733442,19.50464394,44.68398393,43.49467638,37.32160382
1.945367361,8.911311625,14.8606811,14.69078002,17.02125649,15.1183644,24.62149812,26.83021215,39.89843686,47.34576752,44.1742807,42.10715089
2.506040924,6.059805172,8.557351043,9.316242531,9.874084409,10.20539151,11.59858037,11.6297289,23.77482441,53.17903791,55.3594351,50.03586794
1.789624705,3.587744464,8.809370977,9.143509767,7.982519057,8.022162642,10.88216415,10.85951067,14.17258172,31.37506603,32.98912629,29.67605524
3.616061311,11.72600618,11.59008531,14.16125498,12.64913538,18.31533638,15.87159252,28.11013362,94.32341602,605.6973488,643.9250917,684.9845193
2.200218981,7.116023551,7.925885363,10.32149059,10.08929244,12.11961034,17.11470209,30.92199649,68.92320462,306.6714487,355.9427618,368.4021743
1.135505549,3.947368416,15.91689947,18.0718115,12.14792719,10.98976817,10.08646076,19.05157439,23.59359659,129.6911574,146.6812654,144.7557198
0.807030128,2.721248958,9.613569421,10.1714113,6.430755863,13.64305669,43.49467638,66.00656942,89.62281949,338.6694853,428.4338891,479.6873814
15.82911725,33.32892845,34.60318655,34.51823601,29.87427316,35.14120663,49.01646146,85.77172835,128.7000678,353.9605825,394.7368416,369.2516797
90.67054281,160.2733518,205.268821,208.3836741,186.069999,222.0323942,204.3060482,216.6238765,221.1828888,318.2813558,349.1467186,349.1467186
2.574001356,13.97719548,19.881258,25.6947066,30.3839764,19.22147547,18.09729666,26.65181602,25.77682546,58.92735777,70.67884911,69.26300678
12.63497695,29.166352,31.88476927,31.34674919,33.83863169,33.58378007,39.64358524,63.34478584,72.0663746,81.6091519,80.84459704,62.15547829
21.97953633,34.9996224,42.67348783,42.9000226,33.32892845,37.8596239,26.23272669,37.54813859,51.67824505,93.16242531,99.87351796,84.83727241
7.096201758,33.01744314,51.50834397,52.04636405,85.85667889,129.2380879,63.62795431,61.6174582,64.73231133,57.4265649,56.6336932,53.12240422
6.345805323,17.3327418,18.58434642,19.21864379,34.88635501,52.9241863,188.84505,243.0434944,286.5664876,321.9625458,316.0160081,324.2278936
17.06090008,170.5806839,203.0884238,220.8714035,346.5982024,423.6200251,202.4088195,426.7348783,476.5725283,984.8599247,788.0578409,661.4815366
12.29234311,47.34576752,62.21211198,63.82617224,80.27826011,87.75390761,509.9864073,796.8360633,904.1569119,1585.460241,1713.169219,1998.036696
35.28279086,254.4835004,245.1955747,256.6638976,269.8595481,319.6971981,316.8655135,477.4220337,617.8735928,1550.347351,1540.719624,1714.018725
14.14992825,117.3166955,140.111757,149.51295,169.0515742,189.2698027,387.9407984,573.6993121,643.6419232,1428.584911,1530.525559,1703.82466
10.04681717,32.90417575,34.97130555,37.34992067,32.98912629,27.09639051,83.16657846,132.72106,168.1454351,647.6062817,736.2380116,839.0281648
32.33783882,44.82556817,31.26179865,36.38714788,41.22932865,33.98021592,68.49845193,114.088575,157.5549345,655.8181673,652.9864826,740.7687071
84.89390611,225.8268516,227.2143771,229.7062596,241.1745825,229.6779428,289.6813407,321.1130404,377.7467336,909.8202813,927.6598946,1071.509475
11.49663972,42.98497314,34.00853277,41.6257645,40.60635802,35.65090987,73.05746423,68.35686769,87.95212554,442.0259754,447.1230078,440.6101331
5.533111826,18.77973267,23.7012006,21.14135767,22.53737821,22.1692592,22.56286337,23.18017063,30.58219433,233.6139845,255.2197384,245.4787432
4.088952649,11.73166955,13.20414557,14.13010645,18.31816807,19.59242616,28.3168466,28.43011399,36.2172468,94.9747035,102.3087668,106.7261948
0.707921165,2.973268893,4.012497163,4.357962692,6.561013357,2.695763796,11.86192704,11.99501622,16.65596917,47.60061913,42.95665629,49.55448155
2.998754055,10.27901532,8.509212403,8.979272057,9.755153654,11.23329305,15.81495883,22.29102164,31.94140296,69.03647201,76.08736681,88.20697716
3.151665027,15.10137429,7.314241477,8.016499272,11.66087743,17.04107828,11.7769765,34.32001808,57.73805022,185.5319789,209.9411007,202.8052553
2.647625157,10.74624328,6.484557871,7.019746272,9.245450415,11.66937248,14.28018574,25.95522159,40.52140748,239.7587402,276.7971755,279.0625232
9.075549335,19.97470359,6.759231283,10.42059955,20.40511966,32.22457143,28.12146036,94.88975296,128.2753151,270.1427166,298.7427316,284.5843083
8.177905298,23.4803292,25.5842709,27.11338062,30.95031333,36.98180166,85.63014412,145.2087894,214.6416972,575.6814914,574.265649,598.3349687
2.721248958,11.57875857,16.54270178,17.29876159,17.81129651,21.49248657,33.35724529,60.96617073,104.1210449,432.1150791,473.7408436,508.004228
4.400437962,10.90764931,14.52087894,14.6567998,16.24537489,17.26194969,32.25288828,46.58121266,77.72974392,483.085403,560.1072257,585.5923877
9.001925534,18.95246543,22.08997203,23.31042812,22.38446724,21.58593216,21.81529862,31.31843234,40.18160533,394.4536731,507.4378911,542.5507809
0.637129049,1.769802913,15.63089932,16.0414936,16.25670163,7.772974392,25.16801326,28.99645092,30.32734271,176.2440532,207.9872383,188.5618815
